property_type,bhk,area,locality,city,price_in_crore,price_per_sqft,new_resale,age_of_property,bathrooms,carpet_area,floor,balconies,additional_rooms,furnishing_type,facing,amenities,furnish_details
Villa,3,2300.0,Kondakal,Hyderabad,0.95,4130.0,New,Unknown,3,2040.32,2.0,1.0,pooja room,Unfurnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,1440.0,Moosapet,Hyderabad,0.82,5700.0,New,Unknown,3,1277.42,4.0,1.0,,Unfurnished,North,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area",
Independent House,4,4100.0,Kapra,Hyderabad,2.24,5463.0,New,Unknown,4,3637.1,2.0,1.0,,Semi-Furnished,East,,
Apartment,2,1250.0,Ameenpur,Hyderabad,0.57,4599.0,New,Unknown,2,1108.87,2.0,2.0,,Unfurnished,East,"Rain Water Harvesting, Intercom, Maintenance Staff, Jogging Track, Car Parking, Vaastu Compliant, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,3,1500.0,Habsiguda,Hyderabad,0.48,3200.0,New,Unknown,2,1330.65,6.0,2.0,,Semi-Furnished,East,"Intercom, Swimming Pool, Full Power Backup, Club House, Lift(s)","Gas connection, AC"
Apartment,3,1750.0,Trimalgherry,Hyderabad,0.99,5657.0,Resale,Moderately New Property,3,1552.42,5.0,1.0,,Semi-Furnished,North,,
Apartment,2,1100.0,Gopanpally,Hyderabad,0.65,5909.0,New,Unknown,2,975.81,5.0,1.0,pooja room,Unfurnished,West,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,1553.0,Tellapur,Hyderabad,1.0,6499.0,New,Unknown,3,1377.66,16.0,1.0,,Unfurnished,East,"Jogging Track, Indoor Games, Swimming Pool, Childrens play area, Gymnasium",
Apartment,3,1386.0,As Rao Nagar,Hyderabad,0.52,3751.0,Resale,Moderately New Property,3,1229.52,5.0,1.0,,Semi-Furnished,South,,
Independent House,10,8470.0,Badangpet,Hyderabad,3.5,4132.0,Resale,Unknown,10,7513.71,2.0,1.0,,Unfurnished,East,,
Independent House,2,1250.0,Rampally,Hyderabad,0.6,4800.0,Resale,Unknown,2,1108.87,2.0,1.0,,Semi-Furnished,East,,
Villa,4,3800.0,Kapra,Hyderabad,2.3,6052.0,New,Unknown,4,3370.97,2.0,2.0,,Unfurnished,East,,
Independent House,2,1380.0,Rampally,Hyderabad,0.71,5144.0,Resale,New Property,2,1224.19,2.0,1.0,,Semi-Furnished,East,"Indoor Games, Car Parking, Vaastu Compliant, Childrens play area",
Villa,3,2317.0,Patancheru,Hyderabad,1.73,7500.0,New,New Property,3,2055.4,2.0,1.0,,Unfurnished,East,"Swimming Pool, Landscaped Gardens, Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Multipurpose Room, Rain Water Harvesting, Maintenance Staff, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House",
Apartment,2,1000.0,Madinaguda,Hyderabad,0.65,6500.0,Resale,Moderately New Property,2,887.1,1.0,1.0,pooja room,Unfurnished,North,"Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",Dining Table
Apartment,3,2400.0,Mokila,Hyderabad,1.39,5799.0,New,Unknown,3,2129.03,6.0,2.0,,Semi-Furnished,West,"Gymnasium, Lift(s), Maintenance Staff, Indoor Games, Car Parking, Club House, Childrens play area, Swimming Pool",
Apartment,2,1450.0,Kukatpally,Hyderabad,0.6,4137.0,Resale,Unknown,2,1286.29,2.0,2.0,,Unfurnished,East,,
Apartment,2,1233.0,Kokapet,Hyderabad,0.89,7224.0,New,New Property,1,1093.79,2.0,1.0,,Unfurnished,South,"Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Sports Facility, Full Power Backup, Gymnasium, Club House, Childrens play area, 24 X 7 Security",
Villa,4,4222.0,Velmala,Hyderabad,4.7,11132.0,New,Unknown,4,3745.32,2.0,1.0,,Unfurnished,East,"Rain Water Harvesting, Intercom, Maintenance Staff, Car Parking, Vaastu Compliant, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,2,1205.0,Tellapur,Hyderabad,0.75,6200.0,New,Unknown,2,1068.95,2.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Rain Water Harvesting, Cafeteria, Intercom, Jogging Track, Club House, 24 X 7 Security, Car Parking, Gymnasium",
Apartment,3,1586.0,Bachupally,Hyderabad,0.92,5799.0,New,New Property,3,1406.94,2.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), Car Parking, Rain Water Harvesting, Full Power Backup, Cafeteria, Intercom, Indoor Games, 24 X 7 Security, Childrens play area, Gymnasium, Club House, Vaastu Compliant",
Apartment,3,1990.0,Kollur,Hyderabad,0.75,3768.0,New,Unknown,3,1765.32,6.0,2.0,,Semi-Furnished,East,"Sports Facility, Swimming Pool, Gymnasium, Full Power Backup, Lift(s)","BED, Dining Table, Sofa, TV, AC"
Apartment,3,1480.0,Kukatpally,Hyderabad,1.13,7650.0,New,Unknown,3,1312.9,24.0,1.0,,Unfurnished,East,"Full Power Backup, Multipurpose Room, Indoor Games, Lift(s), Childrens play area, Rain Water Harvesting, Cafeteria, Intercom, Jogging Track, Club House, 24 X 7 Security, Swimming Pool, Gymnasium",
Independent House,5,4200.0,Alwal,Hyderabad,1.85,4404.0,Resale,Unknown,2,3725.81,2.0,3.0,,Furnished,South,Car Parking,BED
Apartment,3,1921.0,Kollur,Hyderabad,0.67,3487.0,New,Unknown,3,1704.11,6.0,1.0,,Semi-Furnished,East,"Sports Facility, ATM, Lift(s), 24 X 7 Security, Rain Water Harvesting, Cafeteria, Intercom, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium, Club House","Washing Machine, BED, AC, Gas connection, Dining Table, Microwave, Sofa, Refrigerator, TV"
Apartment,2,990.0,Attapur,Hyderabad,0.75,7575.0,Resale,Moderately New Property,2,878.23,2.0,1.0,pooja room,Unfurnished,West,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,2935.0,Banjara Hills,Hyderabad,5.0,17035.0,Resale,Unknown,2,2603.63,1.0,1.0,,Semi-Furnished,West,,
Apartment,3,1820.0,Nallagandla Gachibowli,Hyderabad,0.95,5219.0,New,Unknown,3,1614.52,2.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Full Power Backup, Club House, Childrens play area",
Apartment,3,1391.0,Kondapur,Hyderabad,1.29,9300.0,New,Unknown,3,1233.95,5.0,1.0,,Unfurnished,West,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Club House, Car Parking, Gymnasium",Microwave
Independent House,3,2350.0,Nadargul Road,Hyderabad,1.3,5531.0,New,Unknown,2,2084.68,2.0,1.0,,Semi-Furnished,West,Car Parking,BED
Apartment,3,2968.0,Kukatpally,Hyderabad,2.25,7599.0,New,Unknown,3,2632.9,4.0,1.0,,Unfurnished,East,"Cafeteria, Indoor Games, Car Parking, Club House, Childrens play area, Full Power Backup, Gymnasium",
Apartment,3,1450.0,Nanakramguda,Hyderabad,0.93,6400.0,New,Unknown,3,1286.29,12.0,1.0,,Unfurnished,East,"Hospital, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Childrens play area, Intercom, Gymnasium, School, Multipurpose Room, Rain Water Harvesting, Swimming Pool, Club House, 24 X 7 Security, Car Parking",
Apartment,3,2000.0,Kompally,Hyderabad,0.94,4699.0,New,Unknown,3,1774.19,1.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Intercom, Jogging Track, Indoor Games, Car Parking, Club House, Childrens play area",
Apartment,3,1921.0,Kollur,Hyderabad,0.62,3232.0,New,Unknown,3,1704.11,6.0,1.0,,Semi-Furnished,East,"Sports Facility, ATM, Lift(s), 24 X 7 Security, Rain Water Harvesting, Cafeteria, Intercom, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium, Club House","Washing Machine, BED, AC, Gas connection, Dining Table, Microwave, Sofa, Refrigerator, TV"
Apartment,2,965.0,Ramanthapur,Hyderabad,0.72,7501.0,New,Unknown,2,856.05,2.0,2.0,,Semi-Furnished,North,"Full Power Backup, Lift(s)",
Apartment,2,1150.0,Ameenpur,Hyderabad,0.55,4799.0,New,Unknown,2,1020.16,1.0,2.0,pooja room,Unfurnished,West,,
Apartment,2,1090.0,Bachupally,Hyderabad,0.52,4770.0,Resale,Unknown,2,966.94,2.0,1.0,,Unfurnished,East,Lift(s),"TV, AC"
Villa,4,4141.0,Ramachandrapuram,Hyderabad,3.31,7999.0,New,Unknown,4,3673.47,2.0,1.0,,Unfurnished,NorthEast,"Swimming Pool, ATM, Lift(s), Full Power Backup, Landscaped Gardens, Rain Water Harvesting, Cafeteria, Intercom, Club House, 24 X 7 Security, Car Parking, Gymnasium, Childrens play area",
Independent House,5,2500.0,As Rao Nagar,Hyderabad,1.0,4000.0,Resale,Unknown,2,2217.74,2.0,1.0,,Unfurnished,NorthEast,Car Parking,
Apartment,4,4999.0,Puppalaguda,Hyderabad,5.49,11000.0,New,Unknown,5,4434.6,4.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Childrens play area",Gas connection
Apartment,2,1315.0,Ashok Nagar,Hyderabad,1.16,8836.0,New,New Property,2,1166.53,1.0,1.0,,Semi-Furnished,West,Car Parking,BED
Apartment,2,1100.0,Bachupally,Hyderabad,0.49,4454.0,Resale,Unknown,2,975.81,2.0,1.0,,Unfurnished,East,,
Villa,2,1380.0,Maheshwaram,Hyderabad,0.9,6500.0,New,New Property,2,1224.19,2.0,1.0,,Unfurnished,East,"Rain Water Harvesting, Intercom, Car Parking, Vaastu Compliant, 24 X 7 Security, Full Power Backup",
Apartment,4,5777.0,Kokapet,Hyderabad,6.09,10555.0,New,Unknown,4,5124.76,4.0,1.0,,Unfurnished,East,"Indoor Games, Rain Water Harvesting, Lift(s), Golf Course, Intercom, Maintenance Staff, Jogging Track, Club House, Full Power Backup, Swimming Pool, Gymnasium",
Apartment,2,1120.0,Miyapur,Hyderabad,0.38,3400.0,New,New Property,2,993.55,3.0,1.0,,Unfurnished,East,,
Apartment,3,1610.0,Amberpet,Hyderabad,1.55,9627.0,Resale,Unknown,3,1428.23,5.0,1.0,,Semi-Furnished,East,,
Apartment,3,1878.0,Jeedimetla,Hyderabad,0.98,5199.0,New,Unknown,3,1665.97,5.0,1.0,,Unfurnished,West,"Rain Water Harvesting, Full Power Backup, Club House, Vaastu Compliant, Childrens play area, 24 X 7 Security, Lift(s)",
Apartment,2,1355.0,Kollur,Hyderabad,0.57,4200.0,New,New Property,2,1202.02,2.0,1.0,,Unfurnished,East,"Swimming Pool, ATM, Lift(s), Full Power Backup, Indoor Games, Childrens play area, Jogging Track, Club House, Shopping Mall, Multipurpose Room, Cafeteria, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",
Apartment,2,1430.0,Appa Junction Peerancheru,Hyderabad,0.82,5700.0,New,Moderately New Property,2,1268.55,15.0,1.0,,Unfurnished,North,"Swimming Pool, ATM, Sports Facility, Lift(s), Jogging Track, Full Power Backup, Intercom, Childrens play area, Club House, Shopping Mall, Landscaped Gardens, Staff Quarter, Rain Water Harvesting, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",
Apartment,2,1231.0,Manikonda,Hyderabad,0.8,6498.0,New,Unknown,2,1092.02,2.0,1.0,,Unfurnished,East,"Full Power Backup, Rain Water Harvesting, Sports Facility, Lift(s), Childrens play area, Intercom, Maintenance Staff, Jogging Track, Indoor Games, Vaastu Compliant, 24 X 7 Security, Gymnasium, Club House",
Independent House,2,999.0,Serilingampally,Hyderabad,0.65,6506.0,New,Unknown,1,886.21,2.0,1.0,,Semi-Furnished,South,"Sports Facility, Club House, Childrens play area, Full Power Backup",
Villa,3,2000.0,Tukkuguda,Hyderabad,1.6,8000.0,New,Unknown,3,1774.19,2.0,1.0,pooja room,Unfurnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,4,1700.0,Habsiguda,Hyderabad,0.6,3529.0,New,Unknown,4,1508.06,4.0,1.0,,Semi-Furnished,East,,
Villa,4,3321.0,Patancheru,Hyderabad,2.15,6500.0,New,Unknown,4,2946.05,2.0,1.0,,Unfurnished,East,,
Apartment,2,1100.0,Fair Lands,Hyderabad,0.67,6090.0,Resale,Old Property,2,975.81,2.0,1.0,pooja room,Unfurnished,West,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,2020.0,Narsingi,Hyderabad,1.33,6600.0,New,Unknown,3,1791.94,5.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Rain Water Harvesting, Intercom, Maintenance Staff, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House",Gas connection
Independent House,2,1200.0,Tatianaram,Hyderabad,0.72,6000.0,Resale,Moderately New Property,3,1064.52,2.0,1.0,,Semi-Furnished,East,,
Apartment,2,1245.0,Pocharam,Hyderabad,0.63,5055.0,New,Unknown,2,1104.44,2.0,1.0,,Unfurnished,North,"Rain Water Harvesting, Swimming Pool, Full Power Backup, Childrens play area, 24 X 7 Security, Lift(s)",
Villa,2,1248.0,Patancheru,Hyderabad,0.75,6009.0,New,Unknown,2,1107.1,2.0,1.0,study room,Unfurnished,North,"Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Wifi
Apartment,2,1150.0,Ameenpur,Hyderabad,0.54,4700.0,New,Unknown,2,1020.16,1.0,2.0,,Unfurnished,West,"Landscaped Gardens, Lift(s), Rain Water Harvesting, Maintenance Staff, Jogging Track, 24 X 7 Security, Car Parking, Club House, Vaastu Compliant, Childrens play area, Full Power Backup",
Apartment,3,1625.0,Miyapur,Hyderabad,1.15,7076.0,Resale,Unknown,3,1441.53,7.0,1.0,,Furnished,East,,
Apartment,4,3855.0,Osman Nagar,Hyderabad,2.96,7700.0,New,Unknown,4,3419.76,4.0,1.0,,Unfurnished,East,,
Apartment,3,2300.0,Manikonda,Hyderabad,1.6,6990.0,New,Unknown,3,2040.32,8.0,2.0,pooja room,Unfurnished,West,,Gas connection
Apartment,3,1810.0,Bibinagar,Hyderabad,0.82,4503.0,Resale,Unknown,3,1605.65,5.0,1.0,"study room, servant room, pooja room",Unfurnished,East,"Car Parking, Vaastu Compliant","Gas connection, Dining Table, Microwave, Wifi, Sofa, Refrigerator, Washing Machine"
Apartment,3,1665.0,Nallagandla Gachibowli,Hyderabad,0.99,5918.0,New,New Property,3,1477.02,13.0,2.0,,Unfurnished,North,"Sports Facility, ATM, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Intercom, Childrens play area, Rain Water Harvesting, Club House, Swimming Pool, School, Shopping Mall, Multipurpose Room, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security",Wifi
Apartment,2,1180.0,Sainikpuri,Hyderabad,0.6,5084.0,New,Unknown,2,1046.77,2.0,1.0,,Semi-Furnished,East,,
Villa,4,4118.0,Ramachandrapuram,Hyderabad,1.8,4371.0,New,Unknown,4,3653.06,2.0,1.0,,Semi-Furnished,NorthEast,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Villa,4,4000.0,Kongara,Hyderabad,1.5,3750.0,New,Unknown,3,3548.39,2.0,1.0,,Unfurnished,East,"Sports Facility, Swimming Pool, Gymnasium, Club House, Childrens play area, Full Power Backup, Lift(s)",
Apartment,3,1655.0,Bachupally,Hyderabad,1.14,6899.0,New,Unknown,3,1468.15,2.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,1700.0,Kollur,Hyderabad,0.6,3529.0,New,Unknown,4,1508.06,6.0,1.0,,Unfurnished,East,"Sports Facility, ATM, Lift(s), 24 X 7 Security, Rain Water Harvesting, Cafeteria, Intercom, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium, Club House",
Apartment,2,1150.0,6Th Phase Kphb,Hyderabad,0.76,6608.0,Resale,Old Property,2,1020.16,2.0,2.0,,Semi-Furnished,North,,Wardrobe
Apartment,3,1660.0,Nanakramguda,Hyderabad,1.06,6400.0,New,Unknown,3,1472.58,11.0,1.0,,Unfurnished,East,"Hospital, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Childrens play area, Intercom, Gymnasium, School, Multipurpose Room, Rain Water Harvesting, Swimming Pool, Club House, 24 X 7 Security, Car Parking",
Apartment,3,3200.0,Nallagandla Gachibowli,Hyderabad,4.0,12500.0,Resale,New Property,3,2838.71,2.0,3.0,"study room, servant room, pooja room",Furnished,NorthEast,,"Washing Machine, BED, AC, Gas connection, Dining Table, Microwave, Wifi, Wardrobe, Sofa, Refrigerator, TV"
Villa,2,1180.0,Maheshwaram,Hyderabad,0.77,6500.0,New,New Property,2,1046.77,2.0,1.0,,Unfurnished,East,"Rain Water Harvesting, Intercom, Car Parking, Vaastu Compliant, 24 X 7 Security, Full Power Backup",
Apartment,2,1520.0,Sanath Nagar,Hyderabad,0.91,6000.0,New,Unknown,2,1348.39,7.0,2.0,,Unfurnished,East,"Swimming Pool, Landscaped Gardens, 24 X 7 Security, Rain Water Harvesting, Lift(s), Intercom, Maintenance Staff, Jogging Track, Indoor Games, Childrens play area, Car Parking, Gymnasium, Club House",
Apartment,2,1280.0,Saptagiri Colony,Hyderabad,0.7,5499.0,New,Unknown,2,1135.48,2.0,1.0,,Semi-Furnished,East,"Maintenance Staff, Car Parking, Full Power Backup",
Apartment,2,1150.0,Ameenpur,Hyderabad,0.67,5800.0,New,Unknown,2,1020.16,5.0,2.0,pooja room,Unfurnished,East,"Intercom, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)","BED, Wardrobe, AC"
Villa,4,3500.0,Mokila,Hyderabad,4.3,12285.0,New,New Property,3,3104.84,2.0,3.0,,Furnished,North,"Gymnasium, Landscaped Gardens, Swimming Pool, Lift(s), Full Power Backup, Cafeteria, Indoor Games, Sports Facility, 24 X 7 Security, Car Parking, Club House, Vaastu Compliant, Childrens play area","Gas connection, Dining Table, Washing Machine"
Apartment,3,1500.0,Bachupally,Hyderabad,0.84,5600.0,New,Unknown,2,1330.65,2.0,2.0,,Unfurnished,West,,
Apartment,3,2000.0,Kollur,Hyderabad,1.33,6685.0,New,Unknown,3,1774.19,6.0,1.0,,Unfurnished,East,"Swimming Pool, Club House, Childrens play area, 24 X 7 Security, Full Power Backup",
Apartment,2,929.0,Rajendra Nagar,Hyderabad,0.61,6518.0,New,New Property,2,824.11,2.0,1.0,,Unfurnished,West,"Indoor Games, ATM, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Childrens play area, Cafeteria, Club House, Rain Water Harvesting, Swimming Pool, Car Parking, Shopping Mall, Landscaped Gardens, Multipurpose Room, Staff Quarter, 24 X 7 Security, Sports Facility, Gymnasium, Vaastu Compliant",
Villa,5,4504.0,Shankarpalli,Hyderabad,4.27,9498.0,New,Unknown,4,3995.48,2.0,1.0,,Unfurnished,East,,
Apartment,3,2032.0,Rajendra Nagar,Hyderabad,1.0,4899.0,Resale,Unknown,3,1802.58,9.0,1.0,,Semi-Furnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,1410.0,Chandanagar,Hyderabad,0.85,6000.0,New,Unknown,3,1250.81,1.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",
Apartment,3,1620.0,Kachiguda,Hyderabad,1.86,11481.0,New,Unknown,3,1437.1,5.0,1.0,,Unfurnished,East,"Intercom, Full Power Backup, Lift(s)",
Apartment,2,1060.0,Balapur,Hyderabad,0.46,4300.0,New,Unknown,2,940.32,3.0,2.0,,Unfurnished,West,,
Apartment,3,1550.0,Bachupally,Hyderabad,0.87,5600.0,New,Unknown,3,1375.0,2.0,2.0,,Unfurnished,East,"Rain Water Harvesting, Jogging Track, Full Power Backup, Vaastu Compliant, Childrens play area, Gymnasium",
Villa,2,1200.0,Chevella,Hyderabad,0.98,8166.0,New,Unknown,2,1064.52,2.0,1.0,,Furnished,East,"Intercom, Sports Facility, Swimming Pool, Club House, Childrens play area, Gymnasium","BED, Gas connection, Dining Table, Washing Machine, Sofa, Refrigerator, TV, AC"
Apartment,3,2355.0,Moosapet,Hyderabad,1.29,5500.0,New,Unknown,3,2089.11,4.0,1.0,,Unfurnished,East,"Rain Water Harvesting, Jogging Track, Indoor Games, Swimming Pool, Car Parking, Childrens play area, 24 X 7 Security, Full Power Backup, Gymnasium",
Apartment,3,1600.0,Ameenpur,Hyderabad,0.8,4999.0,New,Unknown,3,1419.35,3.0,3.0,,Unfurnished,East,,
Apartment,4,3355.0,Premavathi Pet,Hyderabad,2.25,6736.0,New,Unknown,4,2976.21,4.0,1.0,,Unfurnished,NorthEast,"Swimming Pool, Lift(s), Cafeteria, Indoor Games, Gymnasium",
Apartment,2,1000.0,Kukatpally,Hyderabad,0.35,3500.0,Resale,Old Property,2,887.1,2.0,1.0,pooja room,Unfurnished,North,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,1600.0,Jeedimetla,Hyderabad,0.88,5499.0,New,Unknown,3,1419.35,5.0,2.0,,Unfurnished,West,"Rain Water Harvesting, Full Power Backup, Club House, Vaastu Compliant, Childrens play area, 24 X 7 Security, Lift(s)",
Apartment,3,1680.0,Shamshabad,Hyderabad,0.79,4700.0,New,Unknown,3,1490.32,5.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), 24 X 7 Security, Rain Water Harvesting, Full Power Backup, Intercom, Maintenance Staff, Jogging Track, Indoor Games, Childrens play area, Car Parking, Gymnasium, Club House","Gas connection, Dining Table, Microwave, Wifi, Sofa, Refrigerator, Washing Machine"
Apartment,2,1295.0,Puppalaguda,Hyderabad,0.84,6500.0,New,Unknown,2,1148.79,2.0,1.0,,Semi-Furnished,East,,
Villa,5,7500.0,Sainikpuri,Hyderabad,8.0,10666.0,Resale,Unknown,5,6653.23,2.0,6.0,,Semi-Furnished,East,,
Apartment,2,1200.0,Gopanpally,Hyderabad,1.25,10416.0,Resale,New Property,2,1064.52,2.0,1.0,,Semi-Furnished,West,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Club House, 24 X 7 Security, Car Parking, Gymnasium",AC
Apartment,2,1255.0,Bandlaguda Jagir,Hyderabad,0.63,5000.0,New,Moderately New Property,2,1113.31,13.0,1.0,,Unfurnished,East,"Indoor Games, ATM, Jogging Track, Lift(s), Intercom, Full Power Backup, Rain Water Harvesting, Childrens play area, Staff Quarter, Club House, Swimming Pool, Hospital, School, Shopping Mall, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",
Apartment,3,1490.0,Bairagiguda,Hyderabad,0.95,6375.0,Resale,Moderately New Property,1,1321.77,5.0,1.0,,Semi-Furnished,East,"Intercom, Full Power Backup, Childrens play area, Lift(s)",
Apartment,3,1750.0,Puppalaguda,Hyderabad,1.05,6000.0,New,Unknown,3,1552.42,4.0,1.0,,Unfurnished,East,,
Independent House,6,2800.0,Chandanagar,Hyderabad,2.3,8214.0,New,Unknown,6,2483.87,2.0,1.0,,Unfurnished,North,,
Apartment,3,1435.0,Kukatpally,Hyderabad,0.78,5435.0,New,Moderately New Property,3,1272.98,4.0,3.0,,Semi-Furnished,West,"Gymnasium, Landscaped Gardens, Swimming Pool, Lift(s), Full Power Backup, Childrens play area, Multipurpose Room, Intercom, Jogging Track, Indoor Games, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House",
Apartment,3,2120.0,Kollur,Hyderabad,1.2,5699.0,New,Unknown,3,1880.65,6.0,1.0,,Unfurnished,East,,
Apartment,3,1200.0,Patancheru,Hyderabad,0.64,5299.0,New,Unknown,3,1064.52,4.0,2.0,,Unfurnished,East,"Landscaped Gardens, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Childrens play area, Multipurpose Room, Rain Water Harvesting, Cafeteria, Intercom, 24 X 7 Security, Car Parking, Swimming Pool, Gymnasium",
Apartment,2,1650.0,Kollur,Hyderabad,0.85,5151.0,New,Unknown,2,1463.71,2.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,4,5190.0,Film Nagar,Hyderabad,8.3,16000.0,New,New Property,4,4604.03,7.0,1.0,,Unfurnished,West,"Landscaped Gardens, Lift(s), Indoor Games, 24 X 7 Security, Jogging Track, Vaastu Compliant, Rain Water Harvesting, Cafeteria, Intercom, Maintenance Staff, Club House, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium",
Apartment,3,1710.0,Tellapur,Hyderabad,0.85,4970.0,New,Unknown,4,1516.94,16.0,1.0,,Semi-Furnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",
Apartment,3,1600.0,Chandanagar,Hyderabad,0.8,4999.0,New,Unknown,3,1419.35,3.0,3.0,pooja room,Unfurnished,East,,
Apartment,3,1800.0,Lb Nagar,Hyderabad,1.42,7888.0,New,Unknown,3,1596.77,7.0,1.0,,Unfurnished,East,,
Apartment,2,1385.0,Nanakramguda,Hyderabad,0.89,6400.0,New,Unknown,2,1228.63,14.0,1.0,,Unfurnished,East,"Hospital, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Childrens play area, Intercom, Gymnasium, School, Multipurpose Room, Rain Water Harvesting, Swimming Pool, Club House, 24 X 7 Security, Car Parking",
Apartment,3,2850.0,Kollur,Hyderabad,1.02,3600.0,New,Unknown,3,2528.23,12.0,2.0,"study room, servant room, pooja room",Furnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup","Wifi, Wardrobe"
Apartment,3,2170.0,Nanakramguda,Hyderabad,2.5,11520.0,Resale,New Property,3,1925.0,7.0,2.0,,Semi-Furnished,West,"Indoor Games, ATM, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Childrens play area, Cafeteria, Club House, Swimming Pool, Shopping Mall, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",Wardrobe
Apartment,3,1900.0,Patancheru,Hyderabad,0.97,5099.0,New,Unknown,3,1685.48,4.0,1.0,,Unfurnished,East,Full Power Backup,
Apartment,3,1509.0,Bachupally,Hyderabad,1.1,7289.0,New,Unknown,2,1338.63,2.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",
