property_type,bhk,area,society_name,locality,city,price_in_crore,price_per_sqft,status,new_resale,price_negotiable,age_of_property,bathrooms,carpet_area,floor,booking_amount,balconies,additional_rooms,security_deposit,furnishing_type,facing,overlooking,ownership_type,amenities,furnish_details
Apartment,3,1716.0,Shanta The Bodhivriksha,Appa Junction Peerancheru,Hyderabad,1.23,7200.0,Under Construction,New,No,Unknown,,1522.26,,,,,No Deposit,Unfurnished,,,,"Club House, Lift(s), Swimming Pool, Gymnasium, Car Parking, Childrens play area",
Apartment,1,625.0,,Krishna Reddy Pet,Hyderabad,0.31,4960.0,Ready to move,Resale,No,Moderately New Property,1.0,554.44,,,,,No Deposit,Furnished,East,,,"Swimming Pool, Gymnasium, Club House, Childrens play area, Lift(s)",
Apartment,4,3113.0,Aurobindo Kohinoor Phase Iii,Izzathnagar,Hyderabad,4.66,15004.0,Under Construction,New,No,Unknown,,2761.53,,,,,No Deposit,Unfurnished,,,,"Jogging Track, Swimming Pool, Childrens play area",
Apartment,3,1550.0,,Kondapur,Hyderabad,1.07,6903.0,Ready to move,New,No,Unknown,3.0,1375.0,,,,,No Deposit,Unfurnished,West,,,,
Apartment,3,2215.0,Ananda The Legacey By Ananda Homes,Manikonda,Hyderabad,1.21,5500.0,Under Construction,New,No,Unknown,3.0,1964.92,,,,,No Deposit,Unfurnished,,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,2042.0,Riddhi Taranto Towers,Patighanpur,Hyderabad,1.06,5200.0,Under Construction,New,No,Unknown,,1811.45,,,,,No Deposit,Unfurnished,,,,"Maintenance Staff, Jogging Track, Indoor Games, Swimming Pool, Full Power Backup, Club House, Vaastu Compliant, Childrens play area, Lift(s)",
Apartment,3,2567.0,Indis Viva City,Kondapur,Hyderabad,2.6,10128.0,Ready to move,Resale,No,Unknown,4.0,2277.18,,,,,No Deposit,Unfurnished,East,,,"Swimming Pool, ATM, Lift(s), Cafeteria, Gymnasium, Club House, Childrens play area",
Apartment,2,1066.0,Sharvani Sree Hemadurga Paradise,Chandanagar,Hyderabad,0.73,6848.0,Under Construction,New,No,Unknown,,945.65,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, ATM, Lift(s), Indoor Games, Full Power Backup, Gymnasium, Childrens play area",
Apartment,2,1170.0,,Reddy Colony Drreddys Enclave,Hyderabad,0.59,5042.0,Ready to move,Resale,Yes,Moderately New Property,2.0,1037.9,2.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Villa,3,2742.0,,Patancheru,Hyderabad,1.56,5689.0,Ready to move,New,No,Unknown,3.0,2432.42,,,,,No Deposit,Unfurnished,,,,,
Apartment,3,1232.0,,Linghampally,Hyderabad,0.45,3652.0,Under Construction,New,Yes,Unknown,3.0,1092.9,4.0,356000.0,3.0,,No Deposit,Furnished,East,,Freehold,,
Apartment,3,2625.0,Sattva Sattva Magnus,Shaikpet,Hyderabad,2.65,10126.0,Ready to move,New,No,New Property,,2328.63,,,,,No Deposit,Unfurnished,,,,"Sports Facility, Shopping Mall, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Intercom, Childrens play area, Gymnasium, Multipurpose Room, Rain Water Harvesting, Cafeteria, Swimming Pool, Club House, 24 X 7 Security, Car Parking",
Apartment,3,1750.0,S S K Sujay Sierra,Bachupally,Hyderabad,1.01,5799.0,Under Construction,New,No,Unknown,,1552.42,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Indoor Games, Childrens play area, Full Power Backup, Gymnasium, Club House, 24 X 7 Security",
Apartment,3,1715.0,Sri Aditya Athena,Manikonda,Hyderabad,1.32,7750.0,Under Construction,New,Yes,Unknown,3.0,1521.37,2.0,,,pooja room,No Deposit,Unfurnished,,,Freehold,"Landscaped Gardens, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Childrens play area, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Club House, 24 X 7 Security, Car Parking, Swimming Pool, Gymnasium",
Apartment,3,2160.0,,Manikonda,Hyderabad,2.15,9953.0,Ready to move,New,No,Unknown,2.0,1916.13,,,,,No Deposit,Unfurnished,NorthWest,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Independent House,2,2100.0,,Indresham,Hyderabad,0.85,4047.0,Ready to move,New,Yes,New Property,3.0,1862.9,,50000.0,1.0,pooja room,No Deposit,Unfurnished,East,,Freehold,,
Independent House,5,3000.0,,Dr As Rao Nagar Rd,Hyderabad,1.3,4333.0,Ready to move,Resale,No,Moderately New Property,2.0,2661.29,,260000.0,,,No Deposit,Furnished,West,,Freehold,Car Parking,BED
Independent House,2,1485.0,,Sadashivpet,Hyderabad,0.34,2287.0,Under Construction,New,Yes,Unknown,2.0,1317.34,,300000.0,1.0,pooja room,No Deposit,Unfurnished,West,"Road View, Garden View",Freehold,"Car Parking, 24 X 7 Security, Full Power Backup, Landscaped Gardens",Gas connection
Villa,2,2250.0,,Mallapur,Hyderabad,0.85,3777.0,Ready to move,Resale,Yes,New Property,2.0,1995.97,,1000000.0,1.0,pooja room,No Deposit,Unfurnished,East,Garden View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,1600.0,,Ameenpur,Hyderabad,0.77,4799.0,Under Construction,New,Yes,Unknown,3.0,1419.35,1.0,500000.0,2.0,"servant room, pooja room",No Deposit,Unfurnished,East,,,,
Apartment,2,1100.0,,As Rao Nagar,Hyderabad,0.68,6181.0,Ready to move,Resale,Yes,Moderately New Property,2.0,975.81,1.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",Washing Machine
Villa,3,2550.0,Subishi Bliss Luxury Homes,Mokila,Hyderabad,3.75,14705.0,Ready to move,Resale,No,New Property,3.0,2262.1,,,,,No Deposit,Unfurnished,West,,,"Gymnasium, Landscaped Gardens, Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Childrens play area, Rain Water Harvesting, Intercom, Indoor Games, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House",
Independent House,2,1300.0,,Rampally,Hyderabad,0.5,3846.0,Ready to move,Resale,No,Unknown,2.0,1153.23,,,,,No Deposit,Unfurnished,,,,,
Apartment,4,2500.0,Rsr The Garden View Villas,Kollur,Hyderabad,1.72,6880.0,Under Construction,New,No,Unknown,5.0,2217.74,,,,,No Deposit,Semi-Furnished,,,,,
Apartment,3,1676.0,Makuta Projects My Space 2,Bachupally,Hyderabad,1.08,6502.0,Under Construction,New,No,Unknown,,1486.77,,,,,No Deposit,Unfurnished,,,,"ATM, Lift(s), Indoor Games, 24 X 7 Security, Rain Water Harvesting, Cafeteria, Maintenance Staff, Gymnasium, Childrens play area, Full Power Backup, Swimming Pool, Club House",
Apartment,2,1100.0,,Bachupally,Hyderabad,0.56,5100.0,Ready to move,New,No,Unknown,2.0,975.81,,,,,No Deposit,Unfurnished,West,,,"Full Power Backup, Lift(s)",
Villa,4,2500.0,,Turkapally,Hyderabad,0.9,3600.0,Under Construction,New,No,Unknown,4.0,2217.74,,10000.0,2.0,pooja room,No Deposit,Unfurnished,East,,,,
Apartment,2,937.0,Srinivasa Reliance Sunshine,Pocharam Near Muthangi,Hyderabad,0.42,4448.0,Ready to move,New,No,Unknown,1.0,831.21,,,,,No Deposit,Unfurnished,,,,,
Apartment,3,1430.0,,Nallagandla Gachibowli,Hyderabad,1.1,7692.0,Under Construction,New,No,Unknown,3.0,1268.55,,,,,No Deposit,Unfurnished,North,,,"Intercom, Full Power Backup, Lift(s)",
Apartment,3,2580.0,S And S Green Green Grace,Gachibowli,Hyderabad,2.58,10000.0,Ready to move,Resale,No,Moderately New Property,4.0,2288.71,,,,,No Deposit,Unfurnished,West,,,"Indoor Games, ATM, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Childrens play area, Gymnasium, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Cafeteria, Swimming Pool, Club House, 24 X 7 Security, Car Parking, Sports Facility",Gas connection
Villa,3,1987.0,Sri Golden Exotica,Kadthal,Hyderabad,0.69,3498.0,Under Construction,New,No,Unknown,,1762.66,,,,,No Deposit,Unfurnished,,,,"Intercom, Swimming Pool, Full Power Backup, Childrens play area, Gymnasium",
Apartment,3,1960.0,Poulomi Avante,Kokapet,Hyderabad,1.61,8214.0,Ready to move,Resale,No,Unknown,3.0,1738.71,,,,,No Deposit,Semi-Furnished,NorthEast,,,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Club House, 24 X 7 Security, Car Parking, Gymnasium",
Independent House,5,3800.0,,Yapral,Hyderabad,1.9,5000.0,Ready to move,Resale,No,Unknown,2.0,3370.97,,380000.0,,,No Deposit,Furnished,East,,Freehold,Car Parking,BED
Apartment,3,2355.0,Western Marina,Nanakramguda,Hyderabad,2.59,11000.0,Under Construction,New,No,Unknown,,2089.11,,,,,No Deposit,Unfurnished,,,,,
Apartment,3,1665.0,Ramky One Galaxia,Nallagandla Gachibowli,Hyderabad,0.83,4999.0,Ready to move,New,Yes,New Property,3.0,1477.02,11.0,,,,No Deposit,Unfurnished,,,Freehold,"Sports Facility, ATM, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Intercom, Childrens play area, Rain Water Harvesting, Club House, Swimming Pool, School, Shopping Mall, Multipurpose Room, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security",
Apartment,2,1100.0,Ar Anmol Alpine Square,Patancheru,Hyderabad,0.37,3400.0,Under Construction,New,No,Unknown,2.0,975.81,4.0,500000.0,,,No Deposit,Unfurnished,East,"Corner, Garden View, Pool View, Road View",Freehold,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Jogging Track, Club House, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",
Apartment,2,1225.0,,B N Reddy Nagar,Hyderabad,0.67,5492.0,Ready to move,New,No,Unknown,2.0,1086.69,,,,,No Deposit,Unfurnished,East,,,"Full Power Backup, Lift(s)",
Apartment,2,1250.0,Aaditri Aaditris Empire,Kollur,Hyderabad,0.5,4000.0,Under Construction,Resale,No,Unknown,2.0,1108.87,,,,,No Deposit,Unfurnished,,,,"Sports Facility, ATM, Indoor Games, Lift(s), 24 X 7 Security, Landscaped Gardens, Rain Water Harvesting, Intercom, Jogging Track, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium, Club House","BED, Gas connection, Dining Table, Refrigerator, TV, AC"
Apartment,2,1183.0,,Manikonda,Hyderabad,0.73,6200.0,Under Construction,New,No,Unknown,2.0,1049.44,,,,,No Deposit,Semi-Furnished,North,,,"Intercom, Full Power Backup, Lift(s)",
Apartment,2,800.0,,Nacharam,Hyderabad,0.42,5250.0,Ready to move,Resale,No,Unknown,2.0,709.68,,,,,No Deposit,Semi-Furnished,North,,,,
Apartment,2,1240.0,,Puppalaguda,Hyderabad,0.74,6000.0,Under Construction,New,No,Unknown,2.0,1100.0,,,,,No Deposit,Unfurnished,East,,,,
Apartment,3,1510.0,Vasavi Sarovar,Moosapet,Hyderabad,1.43,9499.0,Under Construction,New,No,Unknown,,1339.52,,,,,No Deposit,Unfurnished,,,,"Rain Water Harvesting, Jogging Track, Indoor Games, Swimming Pool, Car Parking, Childrens play area, 24 X 7 Security, Full Power Backup, Gymnasium",
Apartment,2,1430.0,,Nallagandla Gachibowli,Hyderabad,0.5,3496.0,Under Construction,New,No,Unknown,2.0,1268.55,,,,,No Deposit,Semi-Furnished,SouthWest,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area","Gas connection, Microwave"
Apartment,3,1575.0,,Manikonda,Hyderabad,0.94,5968.0,Under Construction,New,No,Unknown,3.0,1397.18,,,,,No Deposit,Unfurnished,,,,,
Apartment,3,1880.0,Divine Space,Tellapur,Hyderabad,1.31,7000.0,Under Construction,New,No,Unknown,3.0,1667.74,,,,,No Deposit,Unfurnished,North,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,2,1400.0,Smr Smr Vinay Iconia Phase Ii Block 1A Block 1B,Kondapur,Hyderabad,1.3,9300.0,Ready to move,New,No,New Property,,1241.94,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Lift(s), Intercom, Indoor Games, Full Power Backup, Gymnasium, Club House, Childrens play area, 24 X 7 Security",
Apartment,2,1070.0,,Malkajgiri,Hyderabad,0.5,4672.0,Ready to move,Resale,No,Unknown,2.0,949.19,,,,,No Deposit,Semi-Furnished,East,,,,
Independent House,10,8000.0,,Padmarao Nagar,Hyderabad,5.0,6250.0,Ready to move,Resale,No,Unknown,10.0,7096.77,,,,,No Deposit,Semi-Furnished,West,,,,
Apartment,2,1150.0,Teja Fortune Heights,Patancheru,Hyderabad,0.58,5043.0,Under Construction,New,No,Unknown,2.0,1020.16,,,,,No Deposit,Semi-Furnished,SouthEast,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area","Washing Machine, BED, AC, Gas connection, Dining Table, Microwave, Sofa, Refrigerator, TV"
Apartment,3,2020.0,Vasavi Construction Vasavi Atlantis,Narsingi,Hyderabad,1.41,6999.0,Under Construction,New,No,Unknown,,1791.94,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Rain Water Harvesting, Intercom, Maintenance Staff, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House",
Apartment,3,1514.0,Aparna Zenon,Puppalaguda,Hyderabad,1.54,10199.0,Under Construction,New,No,Unknown,2.0,1343.06,,,,,No Deposit,Unfurnished,East,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Car Parking, Club House, Childrens play area, 24 X 7 Security, Full Power Backup",Gas connection
Apartment,2,1180.0,,Geetha Nagar Colony,Hyderabad,0.68,5762.0,Ready to move,Resale,Yes,Moderately New Property,2.0,1046.77,2.0,500000.0,2.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,2,1070.0,,Miyapur,Hyderabad,0.53,4999.0,Ready to move,New,Yes,New Property,2.0,949.19,4.0,400000.0,2.0,pooja room,No Deposit,Unfurnished,North,Road View,Freehold,,
Apartment,2,1200.0,,Neknampur,Hyderabad,0.49,4083.0,Under Construction,New,Yes,Unknown,2.0,1064.52,2.0,500000.0,1.0,pooja room,No Deposit,Semi-Furnished,North,Garden View,Freehold,"Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)","Sofa, AC"
Apartment,3,1908.0,Pride Palmyra Meadows,Jeedimetla,Hyderabad,0.99,5199.0,Under Construction,New,No,Unknown,,1692.58,,,,,No Deposit,Unfurnished,,,,"Rain Water Harvesting, Full Power Backup, Club House, Vaastu Compliant, Childrens play area, 24 X 7 Security, Lift(s)",
Apartment,2,1260.0,Ramky One Galaxia,Nallagandla Gachibowli,Hyderabad,0.72,5749.0,Ready to move,New,Yes,New Property,2.0,1117.74,6.0,,1.0,,No Deposit,Unfurnished,,,Freehold,"Sports Facility, ATM, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Intercom, Childrens play area, Rain Water Harvesting, Club House, Swimming Pool, School, Shopping Mall, Multipurpose Room, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security",
Apartment,2,1150.0,,Himayat Nagar,Hyderabad,0.75,6521.0,Ready to move,Resale,No,Unknown,2.0,1020.16,,,,,No Deposit,Semi-Furnished,,,,,
Apartment,2,1100.0,,Ameenpur,Hyderabad,0.5,4545.0,Under Construction,New,Yes,Unknown,2.0,975.81,1.0,500000.0,1.0,pooja room,No Deposit,Semi-Furnished,North,Road View,Freehold,"Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",Sofa
Apartment,3,2150.0,Aliens Space Station,Tellapur,Hyderabad,1.2,5581.0,Under Construction,New,No,Unknown,3.0,1907.26,,500000.0,3.0,,No Deposit,Semi-Furnished,East,,,"Indoor Games, ATM, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Childrens play area, Golf Course, Club House, Cafeteria, Swimming Pool, Car Parking, Shopping Mall, Multipurpose Room, Rain Water Harvesting, 24 X 7 Security, Sports Facility, Gymnasium, Vaastu Compliant","Gas connection, Wifi"
Apartment,2,1150.0,,Dilsukh Nagar,Hyderabad,0.69,6000.0,Ready to move,New,No,Unknown,2.0,1020.16,,,,,No Deposit,Semi-Furnished,East,,,,
Apartment,3,1853.0,,Pragati Nagar,Hyderabad,0.93,5000.0,Under Construction,New,Yes,Unknown,2.0,1643.79,13.0,500000.0,1.0,,No Deposit,Unfurnished,NorthEast,"Garden View, Pool View, Road View",Freehold,"Club House, Landscaped Gardens, Gymnasium, Lift(s), Full Power Backup, Rain Water Harvesting, Jogging Track, Swimming Pool, 24 X 7 Security, Car Parking, Vaastu Compliant, Childrens play area",Gas connection
Apartment,2,1645.0,Arca Puppalaguda,Manikonda,Hyderabad,0.99,6018.0,Ready to move,Resale,No,Old Property,1.0,1459.27,,,,,No Deposit,Unfurnished,SouthEast,,,"Rain Water Harvesting, Maintenance Staff, Car Parking, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,4,4320.0,Rajapushpa Eterna,Nanakramguda,Hyderabad,2.98,6900.0,Ready to move,New,Yes,New Property,4.0,3832.26,8.0,,,,No Deposit,Unfurnished,,,Freehold,"Gymnasium, Landscaped Gardens, Swimming Pool, Lift(s), Full Power Backup, Multipurpose Room, Intercom, 24 X 7 Security, Car Parking, Club House, Childrens play area",
Independent House,2,1080.0,,Abids,Hyderabad,0.8,7407.0,Ready to move,Resale,Yes,Old Property,2.0,958.06,,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Villa,4,3400.0,Raghuram Acs Prime Villas,Mokila,Hyderabad,4.76,14000.0,Under Construction,New,No,Unknown,4.0,3016.13,,,,,No Deposit,Unfurnished,West,,,"Gymnasium, Landscaped Gardens, Swimming Pool, Full Power Backup, Cafeteria, Indoor Games, 24 X 7 Security, Car Parking, Club House, Vaastu Compliant, Childrens play area","Gas connection, Dining Table, Washing Machine, Sofa, Refrigerator"
Apartment,2,1150.0,,Ameenpur,Hyderabad,0.57,4999.0,Under Construction,New,Yes,Unknown,2.0,1020.16,3.0,200000.0,2.0,,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Rain Water Harvesting, Intercom, 24 X 7 Security, Car Parking, Club House, Vaastu Compliant, Childrens play area, Full Power Backup",
Independent Floor,2,1000.0,,Ac Guards Road,Hyderabad,0.69,6900.0,Ready to move,Resale,Yes,Old Property,2.0,887.1,4.0,500000.0,1.0,study room,No Deposit,Unfurnished,East,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,2500.0,,Punjagutta,Hyderabad,3.3,13200.0,Ready to move,Resale,No,New Property,4.0,2217.74,,,,,No Deposit,Furnished,,,,,
Apartment,3,1550.0,Golden Residency,Panchavati Colony,Hyderabad,0.49,3161.0,Ready to move,New,No,Unknown,2.0,1375.0,,,,,No Deposit,Semi-Furnished,,,,,
Independent Floor,2,1000.0,,Mehdipatnam,Hyderabad,0.51,5100.0,Ready to move,Resale,Yes,Moderately New Property,2.0,887.1,1.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",Refrigerator
Apartment,1,655.0,Tranquillo Projects Mpr Urban City,Patancheru,Hyderabad,0.34,5190.0,Ready to move,New,No,New Property,1.0,581.05,,,,,No Deposit,Unfurnished,East,,,,
Apartment,3,1765.0,Hallmark Treasor,Gandipet,Hyderabad,1.58,9001.0,Under Construction,New,No,Unknown,3.0,1565.73,,,,,No Deposit,Unfurnished,East,,,"Swimming Pool, Lift(s), Rain Water Harvesting, Cafeteria, Jogging Track, Indoor Games, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area, Full Power Backup",
Apartment,2,963.0,,Malkajgiri,Hyderabad,0.53,5503.0,Ready to move,Resale,Yes,Moderately New Property,2.0,854.27,4.0,400000.0,1.0,pooja room,No Deposit,Unfurnished,North,Garden View,Freehold,"Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",Sofa
Apartment,3,2150.0,Aliens Space Station,Tellapur,Hyderabad,1.5,6976.0,Under Construction,New,Yes,Unknown,3.0,1907.26,23.0,500000.0,2.0,,No Deposit,Semi-Furnished,East,"Corner, Garden View, Pool View, Road View",Freehold,"Indoor Games, ATM, Jogging Track, Lift(s), Intercom, Full Power Backup, Golf Course, Childrens play area, Cafeteria, Club House, Swimming Pool, Shopping Mall, Multipurpose Room, Rain Water Harvesting, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",Gas connection
Apartment,2,1015.0,Muni Reddy Bandi Sri Nilayam,Ameenpur,Hyderabad,0.53,5176.0,Ready to move,New,No,New Property,2.0,900.4,,,,,No Deposit,Semi-Furnished,West,,,"Full Power Backup, Lift(s)",
Apartment,3,2255.0,Hallmark Skyrena,Narsingi,Hyderabad,2.02,8999.0,Ready to move,New,No,Unknown,2.0,2000.4,,,,,No Deposit,Unfurnished,,,,"Gymnasium, Landscaped Gardens, Lift(s), Rain Water Harvesting, Jogging Track, Swimming Pool, Car Parking, Club House, Childrens play area, 24 X 7 Security, Full Power Backup",
Apartment,3,1853.0,Merlion Galaxia,Nizampet,Hyderabad,1.11,6000.0,Ready to move,New,No,New Property,3.0,1643.79,,,,,No Deposit,Unfurnished,,,,"Hospital, Lift(s), Jogging Track, 24 X 7 Security, Maintenance Staff, Vaastu Compliant, Intercom, Gymnasium, Shopping Mall, Multipurpose Room, Rain Water Harvesting, Swimming Pool, Club House, Childrens play area, Full Power Backup",
Apartment,3,1455.0,Primark Narenn Primark Inspira,Miyapur,Hyderabad,1.03,7079.0,Under Construction,New,No,Unknown,3.0,1290.73,,,,,No Deposit,Unfurnished,,,,"Gymnasium, Multipurpose Room, Rain Water Harvesting, Cafeteria, Indoor Games, Car Parking, Full Power Backup, Club House, Childrens play area, 24 X 7 Security",
Apartment,3,2050.0,Prestige Tranquil,Kokapet,Hyderabad,2.15,10492.0,Ready to move,Resale,No,New Property,3.0,1818.55,5.0,500000.0,,,No Deposit,Unfurnished,East,,,"Swimming Pool, Lift(s), Rain Water Harvesting, Cafeteria, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area, Full Power Backup",
Apartment,2,1330.0,Team4 Nyla,Miyapur,Hyderabad,0.96,6599.0,Under Construction,New,Yes,Unknown,2.0,1179.84,8.0,,,,No Deposit,Unfurnished,,,Freehold,"Gymnasium, Lift(s), Golf Course, Swimming Pool, Full Power Backup, Club House, Childrens play area, 24 X 7 Security",
Villa,4,3050.0,,Velimela,Hyderabad,1.75,5737.0,Under Construction,New,No,Unknown,4.0,2705.65,,,,,No Deposit,Unfurnished,East,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",
Apartment,3,1250.0,,Tellapur,Hyderabad,0.46,3700.0,Under Construction,New,Yes,Unknown,3.0,1108.87,6.0,365800.0,3.0,,No Deposit,Furnished,East,,Freehold,,
Apartment,3,1911.0,Vasavi S Lakecity West,Hafeezpet,Hyderabad,1.14,5999.0,Under Construction,New,Yes,Unknown,3.0,1695.24,4.0,,,,No Deposit,Unfurnished,,,Freehold,"Gymnasium, Lift(s), Swimming Pool, 24 X 7 Security, Cafeteria, Indoor Games, Childrens play area, Full Power Backup, Club House, Vaastu Compliant",
Apartment,2,1000.0,,Cmc Enclave,Hyderabad,0.61,6100.0,Ready to move,Resale,Yes,Moderately New Property,2.0,887.1,4.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,2,1100.0,,Manikonda,Hyderabad,0.59,5363.0,Ready to move,Resale,No,Unknown,2.0,975.81,,,,,No Deposit,Unfurnished,East,,,"Full Power Backup, Lift(s)",
Independent House,3,2900.0,,Hayathnagar,Hyderabad,1.55,5344.0,Ready to move,New,No,Moderately New Property,4.0,2572.58,,,,,No Deposit,Furnished,,,,,
Apartment,3,1539.0,,Sri Nagar Colony,Hyderabad,1.2,7797.0,Ready to move,Resale,No,Unknown,2.0,1365.24,,,,,No Deposit,Semi-Furnished,East,,,,
Apartment,3,1406.0,Coral Apartments,Begumpet,Hyderabad,1.05,7467.0,Ready to move,Resale,Yes,Moderately New Property,3.0,1247.26,2.0,,1.0,,No Deposit,Semi-Furnished,North,,Freehold,"Staff Quarter, Intercom, Maintenance Staff, Indoor Games, Car Parking, Vaastu Compliant, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",Wardrobe
Villa,4,4600.0,Cmg Halcyon Homes,Gachibowli,Hyderabad,3.12,6800.0,Under Construction,New,No,Unknown,,4080.65,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Indoor Games, Childrens play area, Full Power Backup, Gymnasium, 24 X 7 Security",
Villa,5,5514.0,,Kollur,Hyderabad,4.85,8795.0,Under Construction,New,Yes,Unknown,5.0,4891.45,,1000000.0,1.0,pooja room,No Deposit,Unfurnished,East,Garden View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,2,1000.0,,Hari Hara Puram,Hyderabad,0.65,6500.0,Ready to move,Resale,Yes,Moderately New Property,2.0,887.1,2.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,2,1329.0,Fortune Green Falcon,Puppalaguda,Hyderabad,0.6,4499.0,Under Construction,New,No,Unknown,,1178.95,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area, Full Power Backup",
Apartment,2,1255.0,Hallmark Sunnyside,Manchirevula,Hyderabad,1.12,8924.0,Ready to move,New,No,New Property,2.0,1113.31,,,,,No Deposit,Unfurnished,East,,,"Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Full Power Backup, Cafeteria, Intercom, Indoor Games, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area",Gas connection
Independent House,2,1100.0,,Patancheru,Hyderabad,0.88,8000.0,Ready to move,New,No,Unknown,2.0,975.81,,,,,No Deposit,Unfurnished,North,,,,
